met,altitude_km,velocity_ms,dynamic_pressure_kpa,thrust_kn,pitch_deg,booster_active,booster_alt_km,booster_vel_ms,booster_thrust_kn
0.0,0.241,2.4,0.0,239.8,90.0,0,0.0,0.0,0.0
0.04,0.241,2.92,0.0,240.1,90.0,0,0.0,0.0,0.0
0.08,0.242,3.27,0.0,239.4,90.0,0,0.0,0.0,0.0
0.14,0.242,3.79,0.0,240.4,90.0,0,0.0,0.0,0.0
0.2,0.242,4.31,0.01,240.1,90.0,0,0.0,0.0,0.0
0.24,0.242,4.65,0.01,239.8,90.0,0,0.0,0.0,0.0
0.3,0.243,5.17,0.01,239.6,90.0,0,0.0,0.0,0.0
0.34,0.243,5.52,0.01,239.9,90.0,0,0.0,0.0,0.0
0.4,0.243,6.04,0.02,239.5,90.0,0,0.0,0.0,0.0
0.44,0.243,6.39,0.02,239.8,90.0,0,0.0,0.0,0.0
0.5,0.244,6.91,0.02,240.2,90.0,0,0.0,0.0,0.0
0.54,0.244,7.26,0.02,240.3,90.0,0,0.0,0.0,0.0
0.6,0.245,7.79,0.03,240.1,90.0,0,0.0,0.0,0.0
0.64,0.245,8.14,0.03,240.0,90.0,0,0.0,0.0,0.0
0.7,0.245,8.66,0.04,239.6,90.0,0,0.0,0.0,0.0
0.74,0.246,9.01,0.04,240.2,90.0,0,0.0,0.0,0.0
0.8,0.246,9.53,0.05,239.9,90.0,0,0.0,0.0,0.0
0.84,0.247,9.88,0.05,239.7,89.97,0,0.0,0.0,0.0
0.9,0.247,10.41,0.06,240.2,90.0,0,0.0,0.0,0.0
0.9,0.247,10.41,0.06,240.2,90.0,0,0.0,0.0,0.0
0.96,0.248,10.94,0.06,240.6,90.0,0,0.0,0.0,0.0
1.02,0.249,11.47,0.07,240.1,90.0,0,0.0,0.0,0.0
1.08,0.249,11.99,0.08,240.3,90.0,0,0.0,0.0,0.0
1.12,0.25,12.35,0.08,240.5,89.97,0,0.0,0.0,0.0
1.16,0.25,12.7,0.09,240.4,90.0,0,0.0,0.0,0.0
1.22,0.251,13.23,0.1,239.9,89.98,0,0.0,0.0,0.0
1.28,0.252,13.76,0.11,239.7,90.0,0,0.0,0.0,0.0
1.32,0.252,14.11,0.11,239.7,90.0,0,0.0,0.0,0.0
1.38,0.253,14.65,0.12,239.5,89.98,0,0.0,0.0,0.0
1.42,0.254,15.0,0.13,240.5,89.96,0,0.0,0.0,0.0
1.48,0.255,15.53,0.14,240.4,89.97,0,0.0,0.0,0.0
1.54,0.256,16.07,0.15,240.1,89.97,0,0.0,0.0,0.0
1.58,0.256,16.42,0.15,240.5,89.96,0,0.0,0.0,0.0
1.62,0.257,16.78,0.16,240.2,89.96,0,0.0,0.0,0.0
1.68,0.258,17.32,0.17,239.8,89.96,0,0.0,0.0,0.0
1.74,0.259,17.85,0.18,240.6,89.96,0,0.0,0.0,0.0
1.78,0.26,18.21,0.19,240.1,89.96,0,0.0,0.0,0.0
1.82,0.261,18.57,0.2,240.0,89.95,0,0.0,0.0,0.0
1.88,0.262,19.1,0.21,239.7,89.96,0,0.0,0.0,0.0
1.92,0.263,19.46,0.22,240.5,89.95,0,0.0,0.0,0.0
1.98,0.264,20.0,0.23,240.4,89.95,0,0.0,0.0,0.0
2.04,0.265,20.54,0.25,240.4,89.94,0,0.0,0.0,0.0
2.08,0.266,20.9,0.26,240.7,89.94,0,0.0,0.0,0.0
2.12,0.267,21.26,0.27,240.2,89.94,0,0.0,0.0,0.0
2.18,0.268,21.8,0.28,239.8,89.94,0,0.0,0.0,0.0
2.24,0.269,22.34,0.3,240.2,89.94,0,0.0,0.0,0.0
2.28,0.27,22.7,0.31,240.0,89.94,0,0.0,0.0,0.0
2.32,0.271,23.06,0.32,239.9,89.93,0,0.0,0.0,0.0
2.38,0.273,23.61,0.33,240.4,89.93,0,0.0,0.0,0.0
2.44,0.274,24.15,0.35,240.3,89.93,0,0.0,0.0,0.0
2.48,0.275,24.51,0.36,240.4,89.93,0,0.0,0.0,0.0
2.52,0.276,24.87,0.37,239.9,89.93,0,0.0,0.0,0.0
2.58,0.277,25.42,0.39,240.2,89.92,0,0.0,0.0,0.0
2.64,0.279,25.97,0.41,240.4,89.91,0,0.0,0.0,0.0
2.68,0.28,26.33,0.42,240.7,89.92,0,0.0,0.0,0.0
2.72,0.281,26.7,0.43,240.4,89.91,0,0.0,0.0,0.0
